Category,Property,Description,Agentic / Semantic Layer Importance,Human Importance,Agentic Importance,Snowflake SV Equivalent,Snowflake Notes / Pros & Cons,Databricks UC Equivalent,Databricks Notes / Pros & Cons,dbt MetricFlow Equivalent,Cube.dev Equivalent,Other Platform Notes
Cube.dev-Only,"Cube: data_source per cube","Specifies which configured database connection a cube uses — enables a single semantic model to span multiple data warehouses.","Multi-warehouse models allow agents to query a unified semantic interface while data physically resides in different systems (Snowflake for historical, Databricks for streaming, Postgres for operational).","Low — users see a unified view; data_source routing is transparent","Medium — agents query a consistent semantic model regardless of where data resides; simplifies agent architecture for multi-warehouse environments","Not supported","Con: Snowflake SV can only reference Snowflake objects; no cross-warehouse federation.","Not supported","Con: UC MV can only reference Unity Catalog objects; no cross-warehouse federation.","Not applicable — dbt models reference one data platform per project","Native (cube.data_source: 'connection_name' — Cube.dev)","No equivalent in warehouse-native semantic layers; unique to headless semantic layer platforms (Cube, AtScale)"
LookML-Only,"LookML: dimension_group (time fan-out)","Defines a single timestamp column and automatically generates multiple temporal dimensions (raw, date, week, month, quarter, year, day_of_week, etc.) from it.","Eliminates the need to manually define separate date/week/month dimensions from the same timestamp; agents can query any grain from a single timestamp column declaration.","High — users see a clean date picker with all granularities available without separate columns","High — automatic grain fan-out ensures agents always have the correct granularity-specific column available; prevents agents from writing date_trunc SQL manually","time_dimensions[] with a single expr per grain (manual)","Con: Each grain must be defined as a separate time_dimension entry or the BI tool must handle granularity.","dimensions[] with DATE_TRUNC expressions (manual per grain)","Con: Each granularity requires a separate dimension with explicit DATE_TRUNC expr.","dimension.type_params.time_granularity sets minimum grain; MetricFlow auto-generates grain variants at query time","cube.dimensions[].granularities[] — custom granularity definitions on time dimensions","Power BI: date hierarchy auto-generation; ThoughtSpot: default_date_bucket for grain hints"
LookML-Only,"LookML: html (custom cell rendering)","Custom HTML template applied to dimension and measure values — enables conditional colors, images, external links, and badges in cells.","Enables rich data presentation that communicates context directly in the table cell (e.g. red/green traffic lights on KPIs); reduces the need for users to manually interpret raw values.","High — conditional cell formatting is one of the most impactful UX features for human data consumption","Low — agents produce text or structured data responses; HTML rendering is irrelevant to agent output","Not supported","Con: No HTML rendering concept in Snowflake SV.","Not supported","Con: No HTML rendering concept in UC MV.","Not applicable","Not applicable","Power BI: conditional formatting rules; ThoughtSpot: no HTML rendering in semantic layer"
LookML-Only,"LookML: drill_fields","Declares which dimensions to expose when a user clicks through (drills) on a measure value.","Defines structured exploration paths from a high-level metric to underlying detail; agents with drill-down capability can follow these paths to explain metric anomalies.","High — drill-through is one of the most used BI exploration features; defines the click-through experience","Medium — agents with investigative capability can use drill_fields to navigate from an anomalous metric to its underlying rows","Not supported","Con: Drill paths must be defined in the BI tool.","Not supported","Con: No drill path concept in UC MV.","Not applicable","cube.measures[].drill_members[] — dimensions to expose on drill-down","Power BI: drill-through configured in the report layer; ThoughtSpot: drill anywhere is automatic"
LookML-Only,"LookML: data actions","Webhooks and API calls triggered from a data cell in the Looker UI — enables write-back and workflow automation from a data point.","Connects data insights to actions (e.g. create a Salesforce task from a metric anomaly); blurs the line between analytics and operational systems.","High — action buttons in tables enable users to trigger workflows directly from data without leaving the BI tool","Low — few agents currently support write-back actions from semantic layer queries; primarily a human-facing feature","Not supported","Con: No action concept in Snowflake SV; actions must be implemented in the application layer.","Not supported","Con: No action concept in UC MV.","Not applicable","Not applicable","ThoughtSpot: no declarative data actions in semantic layer; Atlan: MCP tools support write operations to update metadata"
LookML-Only,"LookML: access_filter (user-attribute RLS)","Row-level security dynamically applied based on user attributes (e.g. user.region limits rows to the user's assigned region) — embedded in the explore definition.","Declarative user-context-aware data filtering embedded in the semantic model; agents operating under user identities automatically see correctly filtered data without separate security logic.","Low — security is transparent to users; they see only their permitted rows","High — user-attribute-driven filters allow agents to operate securely under end-user identities; critical for multi-tenant and personalized agent deployments","Not supported in SV YAML","Con: Row access policies are applied at the Snowflake account/table level not the semantic view definition.","Not supported in UC MV YAML","Con: Row filters are applied via Unity Catalog policies not inside the metric view definition.","Not applicable — security via dbt Cloud API tokens","cube.access_policy[].row_level.filters with userAttributes","LookML: access_filter is the most expressive equivalent; ThoughtSpot: RLS policies in platform settings"
LookML-Only,"LookML: sql_always_where (invisible mandatory filter)","A hardcoded WHERE clause applied to every query on an explore — invisible to users and cannot be overridden.","Ensures data governance restrictions (e.g. is_deleted = false) are always applied regardless of how the explore is queried; agents cannot bypass this filter even if they try.","Low — invisible to users by design; ensures clean data without user awareness","High — invisible mandatory filters are the strongest governance guardrail for agent queries; agents cannot accidentally query deleted or restricted records","Not supported","Con: Must be implemented as a Snowflake row access policy or view wrapper; no invisible filter at the semantic layer level.","filter: (top-level — always enforced)","Pro: UC's top-level filter is effectively a mandatory always-where; agents cannot bypass it.","metrics[].filter on all metrics (creates per-metric mandatory filter)","cube.pre_aggregations with segments[] (close but not invisible)","ThoughtSpot: model-level filters with is_mandatory: true — closest equivalent"
Governance-Only,"Governance: certificate / trust status","Marks a semantic object as Verified / Draft / Deprecated by a designated data steward — surfaced as a trust badge in catalogs and BI tools.","Tells agents and users whether a metric or model is production-ready and authorised for business reporting; prevents agents from citing unverified or deprecated metrics in executive reports.","High — users need to know whether a metric is officially verified before using it in a presentation or report","High — agents querying unverified metrics may produce results that are later disputed; trust status is critical for agentic reliability in high-stakes contexts","AI_VERIFIED_QUERIES with verified_at / verified_by (query-level verification only)","Pro: Verified Q&A pairs provide examples. Con: No object-level certification on the semantic view itself.","UC object-level certification (set via Databricks catalog UI — not a YAML property)","Pro: Certification visible in lineage panels and dashboards. Con: Not embedded in the metric view YAML definition; managed separately.","Not supported natively","Not supported natively","Atlan: certificate status (VERIFIED / DRAFT / DEPRECATED) as a first-class asset property; OpenMetadata: certification status; Power BI: endorsement (Certified / Promoted)"
Governance-Only,"Governance: business glossary term links","Links a table/column/metric to a canonical business glossary term (e.g. 'Revenue' → glossary term with official definition, synonyms, and steward).","Provides agents with authoritative business definitions linked at the column level; an agent that knows 'Revenue' is linked to the official glossary term with a specific calculation rule produces more accurate and defensible answers.","High — glossary links help data literacy; users can click through to the official definition of a metric","High — glossary term definitions are the richest source of business context for agents; more authoritative than ad-hoc ai_context descriptions","Not supported","Con: No glossary link concept in Snowflake SV.","Not supported","Con: No glossary link concept in UC MV.","Not supported — dbt descriptions are the closest analog","Not supported","Atlan: meanings[] (linked glossary terms); OpenMetadata: glossaryTerms[]; ThoughtSpot: no business glossary integration in the semantic layer"
Governance-Only,"Governance: announcements on assets","Broadcast messages attached to a semantic object (e.g. 'Deprecating next quarter' / 'Calculation changed on Jan 1') — visible to all consumers.","Alerts agents and users to upcoming changes, known issues, or important context without requiring users to check documentation; critical for managing semantic layer changes gracefully.","High — announcements surface as banners in BI tools and catalog UIs; ensures users see important change notifications","Medium — agents consuming catalog APIs can read announcement metadata; useful for routing queries away from deprecated models","Not supported","Con: No announcement concept in Snowflake SV or any warehouse-native semantic layer.","Not supported","Con: No announcement concept in UC MV.","Not supported","Not supported","Atlan: announcements with type (information / warning / issue) + title + message — the most comprehensive implementation"
Governance-Only,"Governance: README / long-form documentation per asset","Markdown documentation attached to a semantic object at the asset level — explains the business context, calculation methodology, known limitations, and usage guidance.","Provides agents with rich contextual knowledge that cannot fit in a description field; a well-written README can explain fiscal year definitions, exclusion rules, data quality caveats, and recommended usage patterns.","High — README documents appear in catalog UIs and data portals; critical for human data literacy and self-service adoption","High — LLMs consuming README content can generate significantly more accurate answers on complex or nuanced metrics; the richest source of unstructured semantic context available","Not supported","Con: SV description field is limited to a single string; no markdown documentation support.","Not supported","Con: UC MV comment is limited to a single string; no markdown documentation support.","Not supported — dbt descriptions support Markdown but are typically concise","Not supported","Atlan: README per asset (full Markdown) — the most comprehensive implementation; OpenMetadata: description supports Markdown; ThoughtSpot: no README equivalent"
Governance-Only,"Governance: PII / sensitivity tags with lineage propagation","Data classification tags (PII / Confidential / Restricted) that propagate automatically through data lineage to all downstream assets.","Prevents agents from inadvertently exposing sensitive data in query results; PII-tagged columns can trigger masking policies or agent refusal to include them in responses.","Low — users are generally unaware of PII tags; they experience the effect as masked or absent data","High — agents must know which columns contain PII to comply with data protection requirements; lineage propagation ensures newly derived metrics inherit PII classification automatically","Not supported in SV YAML","Con: Snowflake column masking policies provide PII protection but are managed separately from the semantic view; no auto-propagation through the semantic layer.","Not supported in UC MV YAML","Con: UC column masks and row filters protect PII but are managed at the catalog level not the metric view definition.","Not supported","Not supported","Atlan: Atlan Tags with propagation through lineage; OpenMetadata: PII classification AI agent; ThoughtSpot: no PII classification in semantic layer"
Governance-Only,"Governance: data quality scores and SLAs","Quality metrics (completeness, freshness, accuracy scores) and SLA definitions attached to semantic assets — surfaced to consumers as quality badges.","Tells agents whether the underlying data is trustworthy before generating a response; a metric with a failing freshness SLA should not be cited in a time-sensitive report.","High — data quality scores help users decide whether to trust a metric for a given use case","High — agents need quality signals to decide whether to proceed with a query or warn the user about data reliability; a stale or incomplete metric produces misleading agent responses","Not supported","Con: No quality scoring concept in Snowflake SV.","Not supported","Con: No quality scoring concept in UC MV.","Not supported — dbt tests validate data quality but scores are not embedded in the semantic layer","Not supported","Atlan: DQ rules + scores + SLA definitions; OpenMetadata: data quality test suites linked at column level; ThoughtSpot: no data quality properties in semantic layer"
Governance-Only,"Governance: popularity and engagement signals","Usage signals (view count, query count, starred by, follower count) attached to semantic assets — surface the most-used metrics and tables.","Guides agents and users toward the metrics that the organization actually relies on; low-popularity metrics may be experimental or deprecated even if not formally marked as such.","High — popularity signals help users discover the most relevant and trusted metrics in large catalogs","Medium — agents can use popularity signals to rank multiple similar metrics and prefer the most-used one","Not supported","Con: No usage tracking in Snowflake SV.","Not supported","Con: No usage tracking in UC MV.","Not supported","Not supported","Atlan: popularityScore / viewScore / starredBy; OpenMetadata: followers / votes; ThoughtSpot: usage analytics available via REST API but not embedded in semantic layer"
Power BI-Only,"Power BI: calculation groups","Dynamic time intelligence modifiers (YTD, QTD, prior period, rolling 12M, currency conversion) applied to all measures at once via a single definition — no measure duplication needed.","Eliminates measure explosion for time intelligence; agents can apply any time intelligence pattern to any measure by referencing the calculation group item name.","High — one of the most powerful BI modeling features for human self-service; enables time comparisons without creating dozens of separate measures","High — agents can apply named time intelligence patterns (e.g. 'YTD Revenue', 'vs Prior Month') to any measure without the model defining each combination explicitly","Not supported","Con: Snowflake SV requires a separate metric for each time intelligence variant; no dynamic application pattern.","Not supported","Con: UC MV requires separate window measures for each time variant; no dynamic application.","metric type: derived with offset_window provides period-over-period (partial equivalent)","Not supported","Power BI: calculation groups (strongest implementation); LookML: liquid templating for dynamic SQL; dbt MetricFlow: derived metrics with offset_window"
Power BI-Only,"Power BI: perspectives","Named audience-specific subsets of the semantic model — 'Finance Perspective' exposes only finance-relevant tables, columns, and measures.","Allows agents to select the right scope for a query by audience context; a narrower perspective produces more accurate agent queries than reasoning over the full model.","High — perspectives simplify the field picker for different business teams; a focused interface improves human exploration","High — perspectives reduce the schema surface area an agent must reason over; a scoped model produces more accurate NL queries than a full enterprise model","Not supported","Con: All SV dimensions/metrics are always exposed; no perspective/facade concept.","Not supported","Con: All UC MV dimensions/measures are always exposed.","Not applicable — separate semantic models per audience provide a similar effect","cube.views[] with cubes[].includes / excludes — closest Cube equivalent","LookML: explores as audience-specific facades; AtScale SML: perspectives; Cube: views[]"
Power BI-Only,"Power BI: translations / i18n","Locale-specific display names and descriptions for all model objects — enables the same semantic model to serve users in multiple languages.","A single governed semantic model that automatically presents in the user's language; agents serving multilingual users can produce responses in the appropriate locale without maintaining separate models.","High — essential for multinational deployments where business users work in different languages","Low — most agents currently operate in a single language; i18n is rarely a priority for agentic interfaces","Not supported","Con: No locale-specific display names in Snowflake SV; separate views per locale would be required.","Not supported","Con: No i18n support in UC MV YAML.","Not supported","Not supported","Power BI: translations for table/column/measure display names per locale; ThoughtSpot: locale aliases in column_alias_udf.tml (separate file); LookML: no native i18n"
Power BI-Only,"Power BI: Q&A synonyms and linguistic schema","Curated synonym lists and verb mappings specifically for the Power BI Q&A and Copilot natural-language engine — including phrasings (e.g. 'show me', 'list') and implied orderings.","The most comprehensive NLP vocabulary specification of any platform; enables agents to resolve a wider range of natural-language phrasings to the correct semantic objects.","High — Q&A synonyms directly improve how accurately users' natural-language questions resolve to the correct data","High — linguistic schema is the richest form of NLP grounding; agents querying Power BI models via Copilot benefit from the full vocabulary definition","synonyms[] on each dimension/metric","Con: Snowflake SV synonyms are simpler string arrays with no verb mappings or linguistic structure.","synonyms[] (up to 10 per field — v1.1)","Con: UC MV synonyms are simple string arrays; no linguistic schema.","Not applicable — dbt MetricFlow handles NL via descriptions and labels","Not natively supported","Power BI: Q&A linguistic schema (strongest NLP specification); ThoughtSpot: synonyms[] (simpler but effective)"
Power BI-Only,"Power BI: dataCategory column hints","Semantic type hints on columns: Country, City, PostalCode, Longitude, Latitude, URL, ImageURL, BarcodeUrl — used for map visuals and Copilot context.","Tells agents what kind of real-world entity a column represents; enables Copilot to generate map visualizations and URL rendering automatically from the semantic model.","High — geo dataCategory enables automatic map visualization rendering; URL/ImageURL enables rich media in tables","Medium — agents can use dataCategory to infer column semantics (e.g. use a City column as a geographic dimension in a map query)","Not supported","Con: No semantic type hints in Snowflake SV beyond the standard data_type (TEXT / NUMBER / DATE).","Not supported","Con: No semantic type hints in UC MV beyond standard SQL types.","Not applicable","Not applicable","Power BI: dataCategory; ThoughtSpot: geo_config provides a similar but narrower geographic role classification"
LookML-Only,"LookML: synonyms on fields","Alternative names for a dimension or measure recognized by Looker's Conversational Analytics (Gemini) and Q&A engine — equivalent to ThoughtSpot synonyms but surfaced via the Semantic API.","Expands the NL vocabulary agents can use to resolve field references; particularly valuable for acronyms and business aliases that differ from technical column names.","High — synonyms improve Q&A and search accuracy for human users typing natural terms","High — consumed by Looker's AI and by external agents via the Semantic API; directly improves NL→field resolution accuracy","synonyms[] on each dimension / time_dimension / metric","Pro: Same pattern — array of alternative strings directly consumed by Cortex Analyst. Con: No synonym weighting.","synonyms[] on dimensions and measures (v1.1 — up to 10)","Pro: Same pattern consumed by Genie. Con: 10-synonym limit per field.","dimension.label + description carry synonym-like signals (no explicit synonyms array in MetricFlow)","Not natively supported — cube.title is the primary alias","LookML: synonyms[] on any field or explore (requires new LookML runtime); Power BI: Q&A synonyms in linguistic schema; ThoughtSpot: synonyms[]"
LookML-Only,"LookML: parameter field type","A filter-only input field (not in SELECT) with typed values (string / number / unquoted / date_time / yesno); its value is injected into SQL expressions via Liquid {% parameter %} templating; supports allowed_value drop-down options and suggest_explore for dynamic value lookup.","Enables governed runtime parameterization of SQL expressions — dimension labels and SQL change based on user selection without separate model versions per scenario.","High — exposed as UI controls (dropdowns, date pickers) that users interact with to reshape queries","Medium — agents can inject parameter values at query time for dynamic SQL; requires knowing allowed_value options","Not directly supported (SV YAML has no runtime parameter concept)","Con: Hard blocker — parameters require manual model variants in Snowflake SV.","Not supported","Con: Same hard blocker — no runtime parameter concept in UC MV.","Not applicable — MetricFlow uses metrics[].filter with Jinja conditions","Not applicable — Cube achieves this via separate cubes or user_attribute-driven access_policy","ThoughtSpot: parameters[] (closest equivalent but also unsupported in Snowflake/Databricks targets)"
LookML-Only,"LookML: named_value_format","Project-wide reusable display format strings (Excel-style) defined once at the model level and referenced by name on any field via value_format_name; includes strict_value_format to prevent user number_format overrides.","Ensures consistent number presentation across the entire semantic model without duplicating format strings on every field; a single model-wide change updates formatting everywhere.","High — consistent currency, percentage, and number formatting across all visualizations improves report readability","Low — display formatting is a BI concern; agents generate text or structured data responses where format strings are irrelevant","Not supported","Con: No project-wide format registry in Snowflake SV; format strings in metrics[] descriptions or BI layer.","format: at the measure level (v1.1) provides field-level formatting","Con: No shared named format registry; each measure defines its own format object independently.","Not supported","Not supported","Power BI: named format strings applied to measures via DAX FORMAT(); ThoughtSpot: format_pattern on each column (no shared registry)"
LookML-Only,"LookML: explore.query (Quick Start sample analyses)","Named reusable query blocks defined inside an explore — specify dimensions, measures, filters, sorts, and limit; appear as clickable Quick Start suggestions in the Looker Explore UI.","Pre-defined sample queries lower the barrier to entry for human exploration; for agents they serve as validated NL→query pair examples showing what the explore can answer.","High — Quick Start suggestions directly guide human users toward the most common and valuable analyses","Medium — validated sample queries serve as few-shot examples that help agents understand what questions the explore is designed to answer","AI_VERIFIED_QUERIES (DDL clause) / verified_queries[] (YAML)","Pro: More AI-specific — includes verified_at timestamp, verified_by contact, and onboarding_question flag. Con: Not embedded in the SV definition itself (DDL clause / separate YAML section).","Not supported","Con: No sample query concept in UC MV.","saved_queries[] — pre-defined metric queries (most similar dbt equivalent)","Not natively supported","Power BI: Verified Answers in LSDL (trigger phrase + visual binding — most structured); ThoughtSpot: verified queries not yet available"
LookML-Only,"LookML: datagroups (cache rebuild policy)","Named caching policies (sql_trigger / interval_trigger / cron + max_cache_age) that control when PDTs and explore caches are invalidated; referenced by explores and derived tables via persist_with.","Decouples cache lifecycle from query time — explores rebuild only when the underlying ETL completes, not on a fixed schedule; prevents stale cache serving while minimising rebuild cost.","High — cache freshness directly affects whether users see current data; aligns BI refresh with ETL completion","Low — caching is infrastructure-level; agents see the effect (fresh or stale data) but do not interact with datagroup definitions","Not directly applicable","Con: Snowflake SV is always query-time; no internal cache lifecycle concept. Acceleration via materialized views or dynamic tables managed separately.","Not directly applicable","Con: UC MV materialization schedule serves a similar purpose but is embedded in the YAML definition rather than a named shared policy.","Not applicable — dbt models use incremental strategy and scheduling","cube.pre_aggregations[].refresh_key — equivalent cache invalidation logic per pre-aggregation","ThoughtSpot: no equivalent semantic-layer-level cache policy"
LookML-Only,"LookML: aggregate_table (aggregate awareness)","Pre-defined rollup query blocks inside an explore that Looker can route to automatically when a query matches the aggregate's dimensions and measures — without the user knowing.","Enables Looker to route compatible queries to pre-aggregated tables for sub-second responses while serving the same semantic interface; agents and humans query identically but at different speeds.","High — transparent query acceleration; users get fast results without changing their queries","Low — agents benefit from faster responses but do not interact with aggregate_table definitions directly","Not directly supported","Con: Snowflake SV has no semantic-layer-level aggregate routing. Acceleration via materialized views is external to the semantic view definition.","materialization: (Experimental v1.1)","Pro: Native materialization config in UC MV — similar intent. Con: Less feature-rich than LookML aggregate awareness (no partial match routing, no fanout handling).","saved_queries[].exports[] materializes metric output; MetricFlow routes queries to materialized exports","cube.pre_aggregations[] — full aggregate awareness with automatic query routing","AtScale SML: model.aggregates[] — explicit user-defined aggregates with automatic routing; ThoughtSpot: aggregated_models"
LookML-Only,"LookML: derived_table (PDT)","View definition backed by a SQL query or explore_source (not a physical table); supports persistence configurations including datagroup_trigger, interval_trigger, persist_for, incremental rebuild (increment_key + increment_offset), partition_keys, cluster_keys, and publish_as_db_view.","Enables complex pre-transformations and materializations within the semantic layer; agents query derived tables exactly like physical tables without knowing the underlying SQL.","High — derived tables allow modeling logic that cannot be expressed in simple column references; critical for complex business metrics","Low — agents interact with derived tables as opaque physical-like sources; the persistence config is infrastructure not agent-facing","Not directly supported","Con: All SV tables must be physical objects in Snowflake; views can be referenced but the materialization must be managed outside the SV.","Not directly supported","Con: UC MV source can be a SQL SELECT (inline derived) but full PDT-style materialization requires a separate notebook or pipeline.","dbt models (ref() tables) serve the same role — transformations external to the semantic layer","cube.pre_aggregations[] with type: original_sql — materializes the cube's base SQL","ThoughtSpot: sql_view handles simple derived queries but not the full PDT feature set"
LookML-Only,"LookML: sets (named field lists)","Reusable named lists of fields defined at the view level; referenced via the * suffix (e.g. orders.core_fields*) in explore.fields, join.fields, measure.drill_fields, and view.drill_fields; supports set algebra with ALL_FIELDS* and - exclusion.","Enables consistent field whitelisting and drill path definitions across the semantic model; changing a set updates every reference point simultaneously — critical for large models with many explores.","High — sets control what fields are visible in each explore and drill path; wrong sets cause missing or excessive fields for users","Low — agents query available fields not field sets directly; sets affect the visible surface but agents adapt to whatever is exposed","Not applicable","Con: No field set concept in Snowflake SV — all dimensions/metrics are individually defined.","Not applicable","Con: No field set concept in UC MV.","Not applicable — dbt exposes all measures/dimensions in a semantic model","cube.views[].cubes[].includes/excludes — closest equivalent (include/exclude specific members per view)","AtScale SML: perspectives[] hide mechanism provides similar scoping; LookML: sets are the most flexible field-grouping mechanism"
LookML-Only,"LookML: refinements (model overlay pattern)","Modifies an existing LookML object in-place using + prefix syntax without creating a new named object — additive for joins/access_filters/aggregate_tables; overriding for labels/descriptions; supports final: yes guard to prevent further modification.","Enables model layering: a base project defines the core semantic model; refinements add client-specific or environment-specific overlays without forking the base. Agents consuming the compiled model see the merged result.","Low — refinements are a developer concern; users and agents see the compiled model","Low — agents interact with the merged compiled model; refinements are invisible at runtime","Not applicable","Con: No model overlay/refinement concept in Snowflake SV; changes require updating the view definition directly.","Not applicable","Con: No overlay pattern in UC MV.","Not applicable — dbt achieves this via model overrides and environment-specific configurations","cube.extends property on views — inherits all members from another cube or view","LookML refinements are unique; closest analog is AtScale SML package imports for cross-project extension"
LookML-Only,"LookML: required_fields","Declares that other specified fields must be selected whenever this field is selected — prevents incomplete or misleading results when a field only makes sense in context.","Ensures agents and users cannot query a metric in isolation when its correct interpretation requires a companion field (e.g. a ratio measure that requires a denominator dimension to be meaningful).","Medium — prevents accidental misuse of context-dependent fields","High — without required_fields an agent could query a ratio metric without the required grouping dimension and receive a single misleading number","Not supported","Con: No field dependency declaration in Snowflake SV; agents can query any metric independently.","Not supported","Con: No field dependency declaration in UC MV.","Not applicable","Not applicable","ThoughtSpot: no equivalent field dependency declaration"
LookML-Only,"LookML: LookML tests (assert blocks)","Named unit tests that run a LookML query and assert expressions against the results — validate that model logic produces expected values before deployment.","Provides automated semantic correctness verification; prevents silent metric regressions from reaching users and agents by catching calculation errors at model deploy time.","Low — tests run at deploy time; users never see them directly","High — validated model logic gives agents a trustworthy foundation; undetected regressions cause silent wrong answers at every query","Not applicable","Con: No declarative unit test framework in Snowflake SV; correctness must be validated via ad-hoc Cortex Analyst queries.","Not applicable","Con: No unit test framework in UC MV.","dbt tests + data quality assertions on columns (closest equivalent — validates source data not metric logic)","Not applicable","ThoughtSpot: no semantic layer unit test framework; correctness validated via ad-hoc Spotter queries"
AtScale SML-Only,"SML: dataset object","Physical source definition (table or SQL query) with explicit column declarations including data_type, calculated columns via sql expression, dialect-specific SQL variants, and incremental build configuration (column + grace_period).","Separates physical source definition from logical semantic objects; allows a single physical table to be referenced multiple times with different column selections and dialect-specific SQL without duplicating business logic.","Low — internal source binding; transparent to users","Low — agents interact with the semantic model not the physical source definition; dataset objects are plumbing","base_table: {database, schema, table} — FQN reference without column declaration","Con: Snowflake SV does not declare columns at the table level; column definitions live in dimensions/metrics. Pro: Less verbose for simple cases.","source: catalog.schema.table — FQN reference without column declaration","Con: Same — UC MV references tables without explicit column schemas. Pro: Simpler for non-complex cases.","model: ref('dbt_model') — references a compiled dbt model with full column schema","cube.sql_table or cube.sql — references physical source without explicit column declarations","LookML: view with sql_table_name or derived_table; Power BI: table with column definitions"
AtScale SML-Only,"SML: connection object","Defines a named database+schema connection that datasets reference; separates infrastructure credentials from logical definitions; multiple schemas require separate connection objects.","Enables clean separation of physical infrastructure from semantic modeling; teams can switch the underlying database connection without changing semantic object definitions.","Low — internal infrastructure; transparent to users","Low — agents interact with the model not connection objects","base_table in each table entry serves as the connection reference","Con: Each SV table independently specifies database/schema — no shared connection object.","source: in each metric view — no shared connection object","Con: Same — UC MV does not have a shared connection registry in the YAML.","profiles.yml / dbt_project.yml handle connection configuration outside the semantic model","cube.data_source per cube — names a configured connection","LookML: connection at model level; ThoughtSpot: connection object at table level"
AtScale SML-Only,"SML: dimension.level_attributes (key column declarations)","Defines the physical columns backing each hierarchy level — key_columns[], name_column, sort_column, is_unique_key, contains_unique_names; also controls aggregate inclusion via exclude_from_dim_agg and exclude_from_fact_agg; supports custom_empty_member for missing FK handling.","Fine-grained control over how dimension members are identified, displayed, and sorted; is_unique_key and contains_unique_names enable MDX-correct member resolution across many-to-many patterns.","Low — key column declarations are developer-facing infrastructure","Medium — correct key declarations determine whether agents get unique unambiguous member names; custom_empty_member prevents null/missing FK members from breaking hierarchical queries","dimensions[] in SV reference physical columns via expr","Con: No key/name/sort column separation in SV; the single expr serves all roles. Pro: Simpler for most cases.","dimensions[].expr — single expression serves as both key and display value","Con: No separation of key and display columns; name collisions require wrapper views.","entity.expr supports composite keys via SQL concat; dimension.name_column concept is not present","Not supported — Cube references columns directly in sql expressions","Power BI: column isKey property + sortByColumn — closest equivalent for key/display separation"
AtScale SML-Only,"SML: dimension.hierarchies.default_member","Declares the default MDX member that is applied when a dimension is in the query scope but not explicitly filtered — expressed as an MDX expression; apply_only_when_in_query controls scope.","Ensures consistent default aggregation scope across MDX and tabular queries; without a default_member agents may receive unexpected aggregate totals when dimensions are in-scope without explicit filter selection.","High — default member determines what data users see when they open a report without selecting a filter value","Medium — default member affects the scope of agent queries when dimensions are present but unfiltered; incorrect defaults produce misleading total values","Not supported","Con: No default member concept in Snowflake SV; the full table is always queried unless a filter is specified.","Not supported","Con: No default member concept in UC MV.","Not applicable — MetricFlow always queries all data unless metrics[].filter is applied","Not applicable","Power BI: calculated member as a default; AtScale: strongest default_member implementation with MDX expression and apply_only_when_in_query control"
AtScale SML-Only,"SML: dimension.relationships.role_play","Declares a role-playing dimension where a single physical dimension (e.g. a date dimension) is reused multiple times under different labels (Order Date / Ship Date / Delivery Date) via a name template (e.g. '{0} Date' / 'Order {0}').","Single source of truth for shared dimension definitions; agents see multiple distinct dimension contexts from one physical table without duplication or risk of divergent definitions.","High — role-played dimensions provide distinct date context labels (Order Date vs Ship Date) that users rely on to build correct reports","High — role-play generates distinct prefixed dimension hierarchies that agents can correctly distinguish without join ambiguity; prevents dimension confusion in multi-role-date models","Not directly supported (requires separate wrapper views)","Con: Snowflake SV requires a physically distinct wrapper view for each role — more verbose and drift-prone.","Not directly supported (multiple joins[] entries with distinct names)","Con: UC MV requires distinct join alias names per role; same physical table referenced multiple times via separate joins.","entity.role attribute on entities — disambiguates multiple FK relationships to the same entity type","Not directly supported","LookML: from: on a join aliases the same view under different join names; AtScale role_play is more declarative"
AtScale SML-Only,"SML: dimension.calculation_groups with built-in templates","Defines calculation groups (dynamic metric modifiers) embedded within a dimension — each group has calculated_members with built-in templates (Current / Previous / YTD / MTD / QTD / Moving Average 3/5/30 Period / Pct of Total / Pct of Parent / Last Year / YoY%) or custom MDX expressions; precedence controls evaluation order when multiple calculation groups interact.","Built-in time intelligence and statistical templates provide governed period-over-period and moving average logic that agents can apply to any metric by selecting the calculation group member — no metric-specific duplication.","High — calculation groups (e.g. YTD / vs Prior Year) are the most requested pattern in executive reporting; built-in templates make them available on every metric instantly","High — agents can request 'revenue Year to Date' without a specific YTD measure being defined; the calculation group applies the logic dynamically to any compatible measure","Not supported","Con: Snowflake SV has no calculation group concept; each time intelligence variant requires a separate metric definition.","Not supported","Con: UC MV has no calculation group concept; window[] on measures is the closest but applies to single measures not groups.","metric type: derived with offset_window provides period-over-period (closest; less reusable)","Not applicable","Power BI: calculation groups (very similar concept — same origin from Microsoft SSAS); LookML: liquid templating for dynamic SQL"
